Stk	Region	Year	model	agency	fc	actual	mod.agency	agency.actual	model.actual	ptcex	sym	kel
LYF	COL	2010	2609	2610	2610	9583	1	0.27	0.27	1	21	black
LYF	COL	2011	9199	8006	8006	9215	1.15	0.87	1	1	21	black
LYF	COL	2012	10401	8683	8683	11115	1.2	0.78	0.94	1	21	black
LYF	COL	2013	15154	14900	14900	21124	1.02	0.71	0.72	1	21	black
MCB	COL	1999	37997	38300	38300	50100	0.99	0.76	0.76	3	21	black
MCB	COL	2000	53460	50600	50600	36800	1.06	1.38	1.45	3	21	black
MCB	COL	2001	45055	43500	43500	66400	1.04	0.66	0.68	3	21	black
MCB	COL	2002	102085	96200	96200	108300	1.06	0.89	0.94	3	21	black
MCB	COL	2003	126698	104800	104800	150300	1.21	0.7	0.84	3	21	black
MCB	COL	2004	94895	90400	90400	117600	1.05	0.77	0.81	3	21	black
MCB	COL	2005	93837	89400	89400	97900	1.05	0.91	0.96	3	21	black
MCB	COL	2006	90780	88300	88300	80471	1.03	1.1	1.13	3	21	black
MCB	COL	2007	77470	68000	68000	47106	1.14	1.44	1.64	3	21	black
MCB	COL	2008	59481	54000	54000	75489	1.1	0.72	0.79	3	21	black
MCB	COL	2009	99685	94400	94400	73069	1.06	1.29	1.36	3	21	black
MCB	COL	2010	82454	72600	72600	78937	1.14	0.92	1.04	3	21	black
MCB	COL	2011	108005	100000	100000	87263	1.08	1.15	1.24	3	21	black
MCB	COL	2012	100809	90800	90800	61850	1.11	1.47	1.63	3	21	black
MCB	COL	2013	113333	105200	105200	243434	1.08	0.43	0.47	3	21	black
LRW	COL	1999	3072	2600	2600	3400	1.18	0.76	0.9	2	21	black
LRW	COL	2000	4053	3500	3500	10200	1.16	0.34	0.4	2	21	black
LRW	COL	2001	16574	16700	16700	15700	0.99	1.06	1.06	2	21	black
LRW	COL	2002	18910	18200	18200	24900	1.04	0.73	0.76	2	21	black
LRW	COL	2003	25820	24600	24600	25900	1.05	0.95	1	2	21	black
LRW	COL	2004	24590	24100	24100	21200	1.02	1.14	1.16	2	21	black
LRW	COL	2005	21937	20200	20200	16767	1.09	1.2	1.31	2	21	black
LRW	COL	2006	19818	16600	16600	17896	1.19	0.93	1.11	2	21	black
LRW	COL	2007	10306	10100	10100	4276	1.02	2.36	2.41	2	21	black
LRW	COL	2008	4479	3800	3800	7120	1.18	0.53	0.63	2	21	black
LRW	COL	2009	9363	8500	8500	7533	1.1	1.13	1.24	2	21	black
LRW	COL	2010	11034	9700	9700	10862	1.14	0.89	1.02	2	21	black
LRW	COL	2011	13429	12500	12500	15180	1.07	0.82	0.88	2	21	black
LRW	COL	2012	17806	16200	16200	13926	1.1	1.16	1.28	2	21	black
LRW	COL	2013	16713	14200	14200	25841	1.18	0.55	0.65	2	21	black
ORC	ORCST	1999	65338	72084	72084	66039	0.91	1.09	0.99	4	21	black
ORC	ORCST	2000	61457	63259	63259	52889	0.97	1.2	1.16	4	21	black
ORC	ORCST	2001	58062	66412	66412	100548	0.87	0.66	0.58	4	21	black
ORC	ORCST	2002	73055	73914	73914	149649	0.99	0.49	0.49	4	21	black
ORC	ORCST	2003	101310	85483	85483	145302	1.19	0.59	0.7	4	21	black
ORC	ORCST	2004	135716	131904	131904	129579	1.03	1.02	1.05	4	21	black
ORC	ORCST	2005	133886	167213	167213	167211	0.8	1	0.8	4	21	black
ORC	ORCST	2006	125550	136373	136373	112797	0.92	1.21	1.11	4	21	black
ORC	ORCST	2007	108338	131195	131195	47011	0.83	2.79	2.3	4	21	black
ORC	ORCST	2008	53417	70101	70101	39615	0.76	1.77	1.35	4	21	black
ORC	ORCST	2009	32254	48072	48072	41800	0.67	1.15	0.77	4	21	black
ORC	ORCST	2010	51234	59806	59806	64799	0.86	0.92	0.79	4	21	black
ORC	ORCST	2011	73043	78199	78199	87646	0.93	0.89	0.83	4	21	black
ORC	ORCST	2012	82789	80749	80749	87540	1.03	0.92	0.95	4	21	black
ORC	ORCST	2013	70385	80095	80095	95594	0.88	0.84	0.74	4	21	black
