Period	Abbrev	FullName	StkNum	Group	GroupNum	SEAK	NBC	WCVI	CanGS	CanOther	WAORcst	PgSnd	Term	Esc	Strays	Nyears
a09on	SPY	'South Puget Sound Fall Yearling'	38	PS	7	0.0000	0.0000	0.0670	0.0168	0.0000	0.0385	0.4866	0.2091	0.1751	0.0069	4
a09on	SRH	'Salmon River'	40	ORcst	9	0.1598	0.1102	0.0203	0.0007	0.0000	0.0301	0.0005	0.3161	0.3593	0.0030	4
a09on	SSF	'Skagit Summer Fingerling'	41	PS	7	0.0874	0.0131	0.1007	0.0440	0.0149	0.0061	0.0355	0.1698	0.5028	0.0257	4
a09on	STI	'Stikine River'	42	SEAK	1	0.2135	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0360	0.7443	0.0052	5
a09on	STL	'Stillaguamish Fall Fingerling'	43	PS	7	0.0155	0.0029	0.1068	0.0864	0.0105	0.0105	0.0809	0.0373	0.6065	0.0427	4
a09on	SUM	'Columbia River Summers'	44	ColR	8	0.1070	0.0283	0.0878	0.0033	0.0039	0.0665	0.0025	0.2938	0.3840	0.0229	4
a09on	TAK	'Taku River'	45	SEAK	1	0.0738	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0369	0.8877	0.0016	5
a09on	UNU	'Unuk River'	46	SEAK	1	0.3144	0.0044	0.0000	0.0000	0.0048	0.0000	0.0000	0.0000	0.6432	0.0332	5
a09on	URB	'Columbia River Upriver Bright'	47	ColR	8	0.1282	0.0529	0.0271	0.0015	0.0031	0.0296	0.0027	0.3183	0.4337	0.0030	4
a09on	WRY	'White River Spring Yearling'	49	PS	7	0.0000	0.0000	0.0097	0.0000	0.0000	0.0050	0.0556	0.0000	0.8474	0.0823	4
a09on	WSH	'Willamette Spring'	50	ColR	8	0.0431	0.0057	0.0193	0.0023	0.0006	0.0160	0.0023	0.4039	0.5044	0.0024	4
a99to08	AKS	'Alaska Spring'	1	SEAK	1	0.3438	0.0076	0.0001	0.0000	0.0015	0.0000	0.0000	0.1538	0.4889	0.0043	10
a99to08	ATN	'Atnarko River'	2	NBC	2	0.0898	0.0616	0.0016	0.0002	0.0305	0.0004	0.0000	0.2387	0.5757	0.0015	10
a99to08	BQR	'Big Qualicum River Fall'	3	GS	4	0.1150	0.0382	0.0337	0.1536	0.0364	0.0030	0.0219	0.0000	0.5857	0.0124	10
a99to08	CHI	'Chilliwack River Fall'	4	Fra	5	0.0012	0.0013	0.0931	0.0442	0.0015	0.0667	0.0231	0.0703	0.6906	0.0081	10
a99to08	CHK	'Chilkat River'	5	SEAK	1	0.1586	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8397	0.0016	5
a99to08	COW	'Cowichan River Fall'	6	GS	4	0.0079	0.0099	0.1533	0.2890	0.0066	0.0117	0.1050	0.0497	0.3225	0.0443	10
a99to08	CWF	'Cowlitz Fall Tule'	7	ColR	8	0.0548	0.0208	0.0952	0.0017	0.0000	0.2065	0.0043	0.0964	0.5025	0.0178	10
a99to08	DOM	'Dome Creek Spring'	8	Fra	5	0.0000	0.0305	0.0393	0.1241	0.0000	0.0107	0.0013	0.4814	0.3127	0.0000	7
a99to08	ELK	'Elk River'	9	ORcst	9	0.0872	0.0528	0.0277	0.0003	0.0015	0.0785	0.0001	0.3065	0.4445	0.0009	10
a99to08	GAD	'George Adams Fall Fingerling'	11	PS	7	0.0070	0.0024	0.1593	0.0377	0.0008	0.0583	0.1176	0.1542	0.4596	0.0031	10
a99to08	HAN	'Hanford Wild Brights'	12	ColR	8	0.2011	0.0637	0.0234	0.0004	0.0013	0.0103	0.0000	0.2584	0.4386	0.0029	10
a99to08	HAR	'Harrison River'	13	Fra	5	0.0074	0.0026	0.1746	0.0621	0.0074	0.1102	0.0243	0.0135	0.5948	0.0033	10
a99to08	HOK	'Hoko Fall Fingerling'	14	WAcst	6	0.1585	0.0924	0.0084	0.0254	0.0031	0.0048	0.0031	0.0000	0.7013	0.0030	10
a99to08	KLM	'Kitsumkalum River Summer'	15	NBC	2	0.1895	0.0868	0.0000	0.0006	0.0022	0.0000	0.0000	0.1063	0.6142	0.0004	10
a99to08	LRH	'Lower River Hatchery Tule'	16	ColR	8	0.0015	0.0006	0.2119	0.0057	0.0000	0.1304	0.0057	0.1179	0.4601	0.0661	10
a99to08	LRW	'Lewis River Wild'	17	ColR	8	0.1366	0.0510	0.0635	0.0021	0.0028	0.0542	0.0056	0.1001	0.5640	0.0200	10
a99to08	LYF	'Lyons Ferry'	18	ColR	8	0.0313	0.0136	0.0316	0.0038	0.0056	0.0628	0.0086	0.0989	0.7437	0.0000	6
a99to08	LYY	'Lyons Ferry Yearling'	19	ColR	8	0.0093	0.0058	0.0725	0.0015	0.0023	0.1459	0.0038	0.1302	0.6285	0.0001	10
a99to08	NAN	'Nanaimo River Fall'	21	GS	4	0.0053	0.0068	0.0453	0.3025	0.0201	0.0010	0.0536	0.0547	0.4913	0.0195	8
a99to08	NIC	'Nicola River Spring'	22	Fra	5	0.0001	0.0128	0.0159	0.0303	0.0002	0.0093	0.0000	0.1853	0.7460	0.0000	10
a99to08	NIS	'Nisqually Fall Fingerling'	23	PS	7	0.0003	0.0001	0.0833	0.0254	0.0009	0.0465	0.1693	0.3671	0.3069	0.0002	10
a99to08	NSF	'Nooksack Spring Fingerling'	25	PS	7	0.0359	0.0032	0.2652	0.0895	0.0033	0.0105	0.0266	0.0099	0.5537	0.0024	10
a99to08	PPS	'Puntledge River Summer'	26	GS	4	0.0653	0.0026	0.0245	0.1215	0.0177	0.0000	0.0000	0.0000	0.7613	0.0071	10
a99to08	QUE	'Queets Fall Fingerling'	27	WAcst	6	0.2586	0.1226	0.0107	0.0005	0.0007	0.0065	0.0000	0.1653	0.4188	0.0162	10
a99to08	QUI	'Quinsam River Fall'	28	GS	4	0.2190	0.0187	0.0007	0.0640	0.0867	0.0000	0.0000	0.0000	0.6078	0.0030	10
a99to08	RBT	'Robertson Creek Fall'	29	WCVI	3	0.1685	0.0581	0.0240	0.0307	0.0205	0.0001	0.0000	0.2402	0.4565	0.0013	10
a99to08	SAM	'Samish Fall Fingerling'	30	PS	7	0.0077	0.0028	0.1430	0.0996	0.0040	0.0509	0.0693	0.3663	0.2368	0.0195	10
a99to08	SHU	'Lower Shuswap River Summer'	31	Fra	5	0.1639	0.1195	0.0097	0.0708	0.0132	0.0015	0.0033	0.0819	0.5339	0.0023	10
a99to08	SKF	'Skagit Spring Fingerling'	32	PS	7	0.0161	0.0035	0.1367	0.0855	0.0050	0.0071	0.0443	0.0918	0.6071	0.0028	10
a99to08	SKS	'Skagit Spring Yearling'	33	PS	7	0.0038	0.0011	0.1248	0.1172	0.0007	0.0055	0.1294	0.1094	0.5063	0.0017	10
a99to08	SKY	'Skykomish Fall Fingerling'	34	PS	7	0.0060	0.0017	0.1973	0.0662	0.0047	0.0247	0.0715	0.0085	0.6112	0.0082	5
a99to08	SOO	'Sooes Fall Fingerling'	35	WAcst	6	0.1728	0.1536	0.0323	0.0267	0.0012	0.0089	0.0046	0.0000	0.5748	0.0250	10
a99to08	SPR	'Spring Creek Tule'	36	ColR	8	0.0000	0.0000	0.1276	0.0025	0.0000	0.1379	0.0123	0.3369	0.3805	0.0022	10
a99to08	SPS	'South Puget Sound Fall Fingerling'	37	PS	7	0.0039	0.0037	0.1438	0.0371	0.0007	0.0547	0.1211	0.1330	0.4999	0.0023	10
a99to08	SPY	'South Puget Sound Fall Yearling'	38	PS	7	0.0000	0.0000	0.0323	0.0167	0.0000	0.0275	0.6070	0.1230	0.1909	0.0026	8
a99to08	SRH	'Salmon River'	40	ORcst	9	0.1930	0.1081	0.0133	0.0001	0.0003	0.0236	0.0001	0.2642	0.3942	0.0032	10
a99to08	SSF	'Skagit Summer Fingerling'	41	PS	7	0.0897	0.0199	0.1256	0.0615	0.0049	0.0032	0.0195	0.0346	0.6221	0.0191	10
a99to08	STI	'Stikine River'	42	SEAK	1	0.1793	0.0171	0.0000	0.0000	0.0000	0.0000	0.0000	0.1977	0.6052	0.0008	6
a99to08	STL	'Stillaguamish Fall Fingerling'	43	PS	7	0.0270	0.0000	0.1342	0.0690	0.0034	0.0060	0.0818	0.0211	0.6080	0.0496	6
a99to08	SUM	'Columbia River Summers'	44	ColR	8	0.1817	0.0579	0.1122	0.0027	0.0066	0.0856	0.0026	0.1344	0.4142	0.0021	10
a99to08	TAK	'Taku River'	45	SEAK	1	0.0729	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0699	0.8565	0.0007	10
a99to08	UNU	'Unuk River'	46	SEAK	1	0.2161	0.0101	0.0000	0.0000	0.0066	0.0000	0.0000	0.0000	0.7517	0.0155	10
a99to08	URB	'Columbia River Upriver Bright'	47	ColR	8	0.1622	0.0586	0.0290	0.0030	0.0038	0.0184	0.0005	0.2514	0.4697	0.0034	10
a99to08	WRY	'White River Spring Yearling'	49	PS	7	0.0000	0.0000	0.0195	0.0000	0.0000	0.0119	0.1521	0.0023	0.7778	0.0364	3
a99to08	WSH	'Willamette Spring'	50	ColR	8	0.0469	0.0049	0.0221	0.0004	0.0001	0.0071	0.0007	0.2871	0.6299	0.0009	10
