FisheryNum	FisheryName	FisheryNameLong	Year	StockGroup	Catch	PropinCatch
1	AlaskaT	'Alaska Troll'	1985	'WCVI'	35298	0.16655
1	AlaskaT	'Alaska Troll'	1985	'GS'	9209	0.04345
1	AlaskaT	'Alaska Troll'	1985	'FR-early'	8877	0.04189
1	AlaskaT	'Alaska Troll'	1985	'FR-late'	479	0.00226
1	AlaskaT	'Alaska Troll'	1985	'PSD'	1385	0.00653
1	AlaskaT	'Alaska Troll'	1985	'WACST'	8737	0.04123
1	AlaskaT	'Alaska Troll'	1985	'CR-bright'	39132	0.18464
1	AlaskaT	'Alaska Troll'	1985	'CR-sp&su'	8868	0.04185
1	AlaskaT	'Alaska Troll'	1985	'CR-tule'	5522	0.02606
1	AlaskaT	'Alaska Troll'	1985	'ORCST'	48859	0.23054
1	AlaskaT	'Alaska Troll'	1986	'SEAK'	10209	0.04407
1	AlaskaT	'Alaska Troll'	1986	'NCBC'	29970	0.12938
1	AlaskaT	'Alaska Troll'	1986	'WCVI'	28269	0.12203
1	AlaskaT	'Alaska Troll'	1986	'GS'	10420	0.04498
1	AlaskaT	'Alaska Troll'	1986	'FR-early'	11708	0.05054
1	AlaskaT	'Alaska Troll'	1986	'FR-late'	785	0.00339
1	AlaskaT	'Alaska Troll'	1986	'PSD'	1130	0.00488
1	AlaskaT	'Alaska Troll'	1986	'WACST'	11328	0.04890
1	AlaskaT	'Alaska Troll'	1986	'CR-bright'	57021	0.24615
1	AlaskaT	'Alaska Troll'	1986	'CR-sp&su'	9974	0.04306
1	AlaskaT	'Alaska Troll'	1986	'CR-tule'	4559	0.01968
1	AlaskaT	'Alaska Troll'	1986	'ORCST'	56277	0.24294
1	AlaskaT	'Alaska Troll'	1987	'SEAK'	8625	0.03733
1	AlaskaT	'Alaska Troll'	1987	'NCBC'	29077	0.12585
1	AlaskaT	'Alaska Troll'	1987	'WCVI'	16841	0.07289
1	AlaskaT	'Alaska Troll'	1987	'GS'	6088	0.02635
1	AlaskaT	'Alaska Troll'	1987	'FR-early'	9494	0.04109
1	AlaskaT	'Alaska Troll'	1987	'FR-late'	224	0.00097
1	AlaskaT	'Alaska Troll'	1987	'PSD'	909	0.00393
1	AlaskaT	'Alaska Troll'	1987	'WACST'	12926	0.05594
1	AlaskaT	'Alaska Troll'	1987	'CR-bright'	76677	0.33186
1	AlaskaT	'Alaska Troll'	1987	'CR-sp&su'	11322	0.04900
